file,true,predicted,correct,verdict,confidence,source,physics_verdict,physics_checks_failed,ml_score,ml_verdict
21729.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3109,REAL
9455.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5174,FAKE
20881.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2804,REAL
7515.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5435,FAKE
2160.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5451,FAKE
8989.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5338,FAKE
2041.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2465,REAL
23856.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2423,REAL
6102.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4662,REAL
24872.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5388,FAKE
21659.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6696,FAKE
29130.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.1375,REAL
5463.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.3869,REAL
12463.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6295,FAKE
26198.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5163,FAKE
3948.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4614,REAL
30069.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6032,FAKE
445.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4819,REAL
11229.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4573,REAL
10862.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2029,REAL
653.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,4,0.2803,REAL
12749.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.4908,REAL
28456.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.4566,REAL
30895.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5063,FAKE
18946.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.3720,REAL
5144.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4268,REAL
5975.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6629,FAKE
1964.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.2753,REAL
25472.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2722,REAL
3791.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5723,FAKE
9701.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2475,REAL
9679.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4686,REAL
6531.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5303,FAKE
19471.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4778,REAL
18067.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4684,REAL
20459.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5711,FAKE
10340.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4404,REAL
15786.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.1530,REAL
6035.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2712,REAL
11707.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4688,REAL
13683.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6275,FAKE
21742.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5413,FAKE
24021.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.2412,REAL
5469.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4894,REAL
13098.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.4730,REAL
611.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4951,REAL
12029.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6571,FAKE
24519.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.7560,FAKE
23363.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4898,REAL
3170.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2062,REAL
24259.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5264,FAKE
7272.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5457,FAKE
23519.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.6920,FAKE
1753.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.7376,FAKE
10911.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5221,FAKE
28730.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6478,FAKE
22.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6658,FAKE
21536.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.4395,REAL
17812.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.1545,REAL
14981.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6870,FAKE
18573.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5353,FAKE
31378.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4870,REAL
27972.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4848,REAL
20249.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6868,FAKE
10687.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6655,FAKE
11096.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5507,FAKE
28483.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3640,REAL

SUMMARY,accuracy=0.5975,EER=0.3825,FPR=0.0350,FNR=0.7700,TP=46,TN=193,FP=7,FN=154
